_id,Neighborhood,Id,estimate__aggregate_household_income_in_the_past_12_months__,margin_of_error__aggregate_household_income_in_the_past_12_m
1,Allegheny Center,1,28265700,8176700
2,Allegheny West,2,23755400,15159354
3,Allentown,3,40566300,8358735.28
4,Arlington,4,33111400,6248592.971
5,Arlington Heights,5,2515000,1056475
6,Banksville,6,141719200,23244861.18
7,Bedford Dwellings,7,8979700,1514943
8,Beechview,8,194033100,20154400.4
9,Beltzhoover,9,31298800,7296641.199
10,Bloomfield,10,243725500,19774185.15
11,Bluff,11,12683300,3627615.051
12,Bon Air,12,22926500,4523555
13,Brighton Heights,13,195674000,16058800.23
14,Brookline,14,361244500,34273834.17
15,California-Kirkbride,15,7593600,2530411
16,Carrick,16,221566800,27495885.3
17,Central Business District,17,194480400,45512724.55
18,Central Lawrenceville,18,129064000,14113582.13
19,Central Northside,19,90854100,14925836.61
20,Central Oakland,20,54280200,8270625.674
21,Chartiers City,21,10967500,3785661
22,Chateau,22,-,**
23,Crafton Heights,23,88112400,14017491.22
24,Crawford-Roberts,24,30591200,7395183.433
25,Duquesne Heights,25,93843300,16650064.46
26,East Allegheny,26,50588300,9594705.765
27,East Carnegie,27,13292200,3914136
28,East Hills,28,38335200,7727676.784
29,East Liberty,29,118242500,20727275.13
30,Elliott,30,40108400,6939967.869
31,Esplen,31,5757700,2518173
32,Fairywood,32,30512800,7804069
33,Fineview,33,25287000,7259331.883
34,Friendship,34,44549100,8935905.582
35,Garfield,35,59645300,13165254.09
36,Glen Hazel,36,4539600,1975969
37,Greenfield,37,235978800,25966033.36
38,Hays,38,6297300,2109647
39,Hazelwood,39,74968600,12693890.57
40,Highland Park,40,217316400,31322613.79
41,Homewood North,41,45889800,9087058.367
42,Homewood South,42,30341000,4316013.597
43,Homewood West,43,12197900,3084489.333
44,Knoxville,44,60696500,12138791.52
45,Larimer,45,16822100,3341587.44
46,Lincoln Place,46,85480100,13165169.43
47,Lincoln-Lemington-Belmar,47,85472700,14711826.7
48,Lower Lawrenceville,48,57051000,8488459.532
49,Manchester,49,48058600,13898315.92
50,Marshall-Shadeland,50,71012900,9351015.054
51,Middle Hill,51,26440400,5882020.807
52,Morningside,52,92063900,13403867.72
53,Mount Oliver Borough,53,54013900,12366038.58
54,Mount Washington,54,263764100,23388926.99
55,Mt. Oliver,55,10941300,2772591
56,New Homestead,56,26212200,3572651
57,North Oakland,57,157087400,29998603.22
58,North Shore,58,11710800,3702758
59,Northview Heights,59,8035600,2254497
60,Oakwood,60,27825200,5196935
61,Overbrook,61,95877700,13202002.33
62,Perry North,62,101872000,11707325.66
63,Perry South,63,53905300,7802599.753
64,Point Breeze,64,299866100,32033559.8
65,Point Breeze North,65,61672500,10565215.41
66,Polish Hill,66,44908900,12733727.25
67,Regent Square,67,49028200,9970697
68,Ridgemont,68,7989900,3064958
69,Shadyside,69,597347500,63123196.01
70,Sheraden,70,100364200,12728978.26
71,South Oakland,71,51314400,11563387.87
72,South Shore,72,-,**
73,South Side Flats,73,240068000,29292476.83
74,South Side Slopes,74,102634800,16087199.17
75,Spring Garden,75,17613500,3711337.736
76,Spring Hill-City View,76,46041000,9883746.831
77,Squirrel Hill North,77,561576600,63708211.63
78,Squirrel Hill South,78,639717500,55105248.88
79,St. Clair,79,4064600,1242200
80,Stanton Heights,80,127428800,14978415.87
81,Strip District,81,74578500,36896832
82,Summer Hill,82,36580900,8495861
83,Swisshelm Park,83,37540700,4713943
84,Terrace Village,84,15630000,2735399.914
85,Troy Hill,85,75957100,18715375.16
86,Upper Hill,86,49187000,14091758.86
87,Upper Lawrenceville,87,60604600,14808774.52
88,West End,88,4884400,2447655
89,West Oakland,89,15820400,3620802.954
90,Westwood,90,90594300,11234701.15
91,Windgap,91,33450000,6183325.504
